Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble,nivel_poder_ejecutivo
Iraq,2005,0.6,"11,550",4,0.43,1,53,in the name of god the most merciful the most compassionate quotwe have honored the sons of adamquot we the people of mesopotamia the homeland of the apostles and prophets resting place of the virtuous imams cradle of civilization crafters of writing and home of numeration upon our land the first law made by man was passed and the oldest pact of just governance was inscribed and upon our soil the saints and companions of the prophet prayed philosophers and scientists theorized and writers and poets excelled acknowledging gods right over us and in fulfillment of the call of our homeland and citizens and in a response to the call of our religious and national leaderships and the determination of our great authorities and of our leaders and politicians and in the midst of international support from our friends and those who love us marched for the first time in our history towards the ballot boxes by the millions men and women young and old on the thirtieth of january invoking the pains of sectarian oppression inflicted by the autocratic clique and inspired by the tragedies of iraqs martyrs shiite and sunni arabs and kurds and turkmen and from all other components of the people and recollecting the darkness of the ravage of the holy cities and the south in the shaabaniyya uprising and burnt by the flames of grief of the mass graves the marshes aldujail and others and articulating the sufferings of racial oppression in the massacres of halabcha barzan anfal and the fayli kurds and inspired by the ordeals of the turkmen in bashir and the sufferings of the people of the western region as is the case in the remaining areas of iraq where the people suffered from the liquidation of their leaders symbols and sheiks and from the displacement of their skilled individuals and from drying out of its cultural and intellectual wells so we sought hand in hand and shoulder to shoulder to create our new iraq the iraq of the future free from sectarianism racism complex of regional attachment discrimination and exclusion accusations of being infidels and terrorism did not stop us from marching forward to build a nation of law sectarianism and racism have not stopped us from marching together to strengthen our national unity following the path of peaceful transfer of power adopting the course of just distribution of resources and providing equal opportunity for all we the people of iraq who have just risen from our stumble and who are looking with confidence to the future through a republican federal democratic pluralistic system have resolved with the determination of our men women elderly and youth to respect the rule of law to establish justice and equality to cast aside the politics of aggression to pay attention to women and their rights the elderly and their concerns and children and their affairs to spread the culture of diversity and to defuse terrorism we the people of iraq of all components and across the spectrum have taken upon ourselves to decide freely and by choice to unite our future to take lessons from yesterday for tomorrow and to enact this permanent constitution through the values and ideals of the heavenly messages and the findings of science and mans civilization the adherence to this constitution preserves for iraq its free union of people of land and of sovereignty,0
Ireland,1937,0.56,"16,007",3,0.38,3,31,in the name of the most holy trinity from whom is all authority and to whom as our final end all actions both of men and states must be referred we the people of éire humbly acknowledging all our obligations to our divine lord jesus christ who sustained our fathers through centuries of trial gratefully remembering their heroic and unremitting struggle to regain the rightful independence of our nation and seeking to promote the common good with due observance of prudence justice and charity so that the dignity and freedom of the individual may be assured true social order attained the unity of our country restored and concord established with other nations do hereby adopt enact and give to ourselves this constitution,0
Japan,1946,0.36,"4,998",2,0.38,2,48,we the japanese people acting through our duly elected representatives in the national diet determined that we shall secure for ourselves and our posterity the fruits of peaceful cooperation with all nations and the blessings of liberty throughout this land and resolved that never again shall we be visited with the horrors of war through the action of government do proclaim that sovereign power resides with the people and do firmly establish this constitution government is a sacred trust of the people the authority for which is derived from the people the powers of which are exercised by the representatives of the people and the benefits of which are enjoyed by the people this is a universal principle of mankind upon which this constitution is founded we reject and revoke all constitutions laws ordinances and rescripts in conflict herewith we the japanese people desire peace for all time and are deeply conscious of the high ideals controlling human relationship and we have determined to preserve our security and existence trusting in the justice and faith of the peace loving peoples of the world we desire to occupy an honored place in an international society striving for the preservation of peace and the banishment of tyranny and slavery oppression and intolerance for all time from the earth we recognize that all peoples of the world have the right to live in peace free from fear and want we believe that no nation is responsible to itself alone but that laws of political morality are universal and that obedience to such laws is incumbent upon all nations who would sustain their own sovereignty and justify their sovereign relationship with other nations we the japanese people pledge our national honor to accomplish these high ideals and purposes with all our resources,0
Jordan,1952,0.54,"10,239",7,0.19,1,35,we talal the first king of the hashemite kingdom of jordan in accordance with article of the constitution and in pursuance of the decision of the senate and the house of representatives hereby approve the following amended constitution and decree its promulgation,1
Kazakhstan,1995,0.56,"13,482",6,0.14,3,57,we the people of kazakhstan united by common historic fate creating state on the indigenous kazakh land considering ourselves peaceloving and civil society dedicated to the ideals of freedom equality and concord wishing to take worthy place in the world community realizing our high responsibility before the present and future generations proceeding from our sovereign right accept this constitution,1
Kenya,2010,0.81,"48,818",2,0.29,5,72,we the people of kenya acknowledging the supremacy of the almighty god of all creation honouring those who heroically struggled to bring freedom and justice to our land proud of our ethnic cultural and religious diversity and determined to live in peace and unity as one indivisible sovereign nation respectful of the environment which is our heritage and determined to sustain it for the benefit of future generations committed to nurturing and protecting the wellbeing of the individual the family communities and the nation recognising the aspirations of all kenyans for a government based on the essential values of human rights equality freedom democracy social justice and the rule of law exercising our sovereign and inalienable right to determine the form of governance of our country and having participated fully in the making of this constitution adopt enact and give this constitution to ourselves and to our future generations god bless kenya,0
Kiribati,1979,0.54,"26,080",2,0.1,4,41,we the people of kiribati acknowledging god as the almighty father in whom we put our trust and with faith in the enduring value of our traditions and heritage do now grant ourselves this constitution establishing a sovereign democratic state in implementing this constitution we declare thatthe will of the people shall ultimately be paramount in the conduct of the government of kiribati the principles of equality and justice shall be upheld the natural resources of kiribati are vested in the people and their government we shall continue to cherish and uphold the customs and traditions of kiribati,0
Kosovo,2008,0.66,"19,782",6,0.29,5,73,we the people of kosovo determined to build a future of kosovo as a free democratic and peaceloving country that will be a homeland to all of its citizens committed to the creation of a state of free citizens that will guarantee the rights of every citizen civil freedoms and equality of all citizens before the law committed to the state of kosovo as a state of economic wellbeing and social prosperity convinced that the state of kosovo will contribute to the stability of the region and entire europe by creating relations of good neighborliness and cooperation with all neighboring countries convinced that the state of kosovo will be a dignified member of the family of peaceloving states in the world with the intention of having the state of kosovo fully participating in the processes of euroatlantic integration in a solemn manner we approve the constitution of the republic of kosovo,1
Kuwait,1992,0.51,"8,197",7,0.33,1,38,in the name of god the compassionate the merciful we abdallah al salem al sabah amir of the state of kuwait desirous of fulfilling all of the exigencies of democratic rule in our beloved homeland confident in the role this nation can play in the wake of arab nationalism of service to world peace and of civilization striving towards a better future in which the nation may enjoy an abundance of comfort and a higher international standing a future which shall provide citizens with ample political freedom equality and social justice as well which shall brace the props of those traits in which the arab spirit is kneaded such as pride in the dignity of the individual jealous watch over the commune bonum counsel in rule and safeguard of the homelands unity and stability after perusal of ordinance no regarding the organic system of rule during the transitional period and in accordance with the decision of the constituent assembly hereby sanction and promulgate this constitution,1
Kyrgyzstan,2010,0.71,"14,327",4,0.33,3,69,we the people of kyrgyzstan paying tribute to the memory of heroes who rendered life for freedom of the people confirming adherence to the goal to build free and democratic state based on respect and protection of human rights expressing unwavering commitment and firm will to develop and enhance the kyrgyz statehood protect state sovereignty and the unity of the people aspiring to strengthen the rule of law as well as ensure social justice economic welfare and spiritual development of the people acting on behest of our ancestors to live in peace and accord in harmony with nature hereby adopt the present constitution,0
Laos,1991,0.46,"4,820",3,0.43,2,27,the multiethnic lao people have existed and developed on this beloved land for thousands of years starting from the middle of the th century during the time of chao fa ngum our ancestors founded the unified lane xang country and built it into a prosperous land since the th century the lao land has been repeatedly threatened and invaded by outside powers our people enhanced the heroic and unyielding traditions of their ancestors and continually and persistently fought to gain independence and freedom since the s under the correct leadership of the former indochinese communist party and the present lao peoples revolutionary party the multiethnic lao people have carried out difficult and arduous struggles full of great sacrifices until they managed to crush the yokes of domination and oppression of the colonial and feudal regimes completely liberate the country and establish the lao peoples democratic republic on december thus opening a new era an era of genuine independence for the country and freedom for the people during the years since the country has been liberated our people have together been implementing the two strategic tasks of defending and building the country especially the undertaking of reforms in order to mobilise the resources within the nation to preserve the peoples democratic regime and create conditions to move towards socialism now in this new period the social life requires that the state must have a constitution this constitution is the constitution of the peoples democratic regime in our country it recognises the great achievements of our people in the course of their struggles for national liberation and their protection and construction of the country and it defines the political regime the socioeconomic system the regimes of national security defence and foreign affairs the rights and obligations of citizens and the system of organisation of state apparatus in the new period this is the first time in the history of our nation that the right of selfdetermination of the people has been defined in the fundamental law of the country this constitution is the fruit of the process of the peoples discussions throughout the country it reflects the longstanding aspirations and strong determination of the national community to strive together to fulfil the objective of building laos into a country of peace independence democracy unity and prosperity,0
Latvia,1991,0.51,"4,917",3,0.38,2,44,the people of latvia in freely elected constitutional assembly have adopted the following state constitution,0
Lebanon,1926,0.47,"6,296",6,0.14,1,14,part i basic provisions part i basic provisions to the constitutionlebanon is a sovereign free and independent homeland an ultimate homeland for all its sons unitary in terms of land people and institutions within its boundaries as provided in this constitution and as recognized internationally lebanon has an arab identity and belonging it is a founding active member of the arab league committed to its charter as it is a founding active member of the united nations organization committed to its charter and the universal declaration of human rights the state embodies these principles in all sectors and scopes without exception lebanon is a democratic parliamentary republic based upon the respect of public freedoms freedom of opinion and freedom of belief and of social justice and equality in rights and duties among all citizens without distinction or preference the people are the source of powers and of sovereignty exercising them through constitutional institutions the system is based upon the principle of separation of powers their balance and their cooperation the economic system is free guaranteeing individual initiative and private ownership balanced development of regions culturally socially and economically is a cornerstone of the state unity and the system stability eliminating political sectarianism is a basic national objective to be achieved according to a transitional plan the territory of lebanon is one for all lebanese every lebanese has the right to reside on any part thereof and enjoy it under the sovereignty of the law no segregation of the people on any belonging whatsoever no segregation no partition and no inhabitation there is no legitimacy to any authority contradicting the charter of coexistence chapter one the state and its territoryarticle lebanon is an independent state with indivisible unity and complete sovereignty its boundaries are the same defining it currently north from the mouth of alnahr alkabir along a line following the course of the river to the point of its confluence with wadi khalid its tributary at the height of jisr alkamar east the summit line separating wadi khalid from wadi alassi river oronte crossing the villages of muaissara harbata heit abish fissan at the height of the two villages of brina and matriba this line follows the boundaries of northern baalbeck from the northeasterly side and the southeasterly side then the boundaries of baalbeck albikaa hassbiya and eastern rashiya south the current southern boundaries of sour and marjayoun west the mediterranean sea article no part of the lebanese territory may be alienated or ceded article the boundaries of administrative areas may not be altered except according to a law article the grand lebanon is a republic whose capital is beirut article the lebanese flag is comprised of red white and red horizontal stripes the cedar in green occupies the center of the white stripe the size of the white stripe is equivalent to the size of both the red stripes the cedar is in the center with its apex touching the red upper stripe and its base touching the red lower stripe the size of the cedar is equivalent to a third of the size of the white stripe chapter two the lebanese their rights and their obligationsarticle the lebanese nationality and the manner in which it is acquired retained and lost shall be determined according to the law article all lebanese are equal before the law they equally enjoy civil and political rights and assume obligations and public duties without any distinction among them article personal freedom is guaranteed and protected by the law no one can be arrested jailed or suspended except according to the rules of the law no offense can be determined and no penalty can be imposed except according to the law article freedom of conscience is absolute in assuming the obligations of glorifying god the most high the state respects all religions and creeds and safeguards the freedom of exercising the religious rites under its protection without disturbing the public order it also guarantees the respect of the system of personal status and religious interests of the people regardless of their different creeds article education is free so long as it does not disturb the public order does not violate the morals and does not touch the dignity of any religion or creed the rights of communities to establish their own private schools cannot be violated provided that they comply with the general requirements laid down by the state with respect to public education article the arabic language is the official national language the conditions under which the french language is to be used are determined by law article every lebanese has the right to public employment without any distinction except on qualification and merit according to the conditions laid down by the law a special code shall be established to safeguard the rights of employees in the areas to which they belong article the freedom of opinion expression through speech and writing the freedom of the press the freedom of assembly and the freedom of association are all guaranteed within the scope of the law article the dwelling is inviolable no one is entitled to enter therein except under the conditions and manners prescribed by the law article the ownership is protected by the law ownership of any one cannot be expropriated except for reasons of public utility under the conditions prescribed by the law and upon fair compensation to him,1
Liberia,1986,0.59,"11,667",2,0.33,4,49,we the people of the republic of liberia acknowledging our devout gratitude to god for our existence as a free sovereign and independent state and relying on his divine guidance for our survival as a nation realizing from many experiences during the course of our national existence which culminated in the revolution of april when our constitution of july was suspended that all of our people irrespective of history tradition creed or ethnic background are of one common body politic exercising our natural inherent and inalienable rights to establish a framework of government for the purpose of promoting unity liberty peace stability equality justice and human rights under the rule of law with opportunities for political social moral spiritual and cultural advancement of our society for ourselves and for our posterity and having resolved to live in harmony to practice fraternal love tolerance and understanding as a people and being fully mindful of our obligation to promote african unity and international peace and cooperation do hereby solemnly make establish proclaim and publish this constitution for the governance of the republic of liberia,0
Liechtenstein,1921,0.47,"9,513",5,0.19,2,29,we john ii by the grace of god prince regnant of liechtenstein duke of troppau count of rietberg etc etc etc make known that the constitution of september has been modified by us with the assent of our diet as follows,1
Lithuania,1992,0.66,"12,214",4,0.38,3,66,the lithuanian nation having created the state of lithuania many centuries ago having based its legal foundations on the lithuanian statutes and the constitutions of the republic of lithuania having for centuries staunchly defended its freedom and independence having preserved its spirit native language writing and customs embodying the innate right of the human being and the nation to live and create freely in the land of their fathers and forefathersin the independent state of lithuania fostering national concord in the land of lithuania striving for an open just and harmonious civil society and state under the rule of law by the will of the citizens of the reborn state of lithuania adopts and proclaims this,0
Macedonia,1991,0.6,"13,486",3,0.38,3,68,taking as the points of departure the historical cultural spiritual and statehood heritage of the macedonian people and their struggle over centuries for national and social freedom as well as for the creation of their own state and particularly the traditions of statehood and legality of the krushevo republic and the historic decisions of the antifascist assembly of the peoples liberation of macedonia together with the constitutional and legal continuity of the macedonian state as a sovereign republic within federal yugoslavia and the freely manifested will of the citizens of the republic of macedonia in the referendum of september th as well as the historical fact that macedonia is established as a national state of the macedonian people in which full equality as citizens and permanent coexistence with the macedonian people is provided for albanians turks vlachs romanies and other nationalities living in the republic of macedonia and intent onthe establishment of the republic of macedonia as a sovereign and independent state as well as a civil and democratic onethe establishment and consolidation of the rule of law as a fundamental system of government the guaranteeing of human rights citizens freedoms and ethnic equality the provision of peace and a common home for the macedonian people with the nationalities living in the republic of macedonia and on the provision of social justice economic wellbeing and prosperity in the life of the individual and the community the assembly of the republic of macedonia adopts the constitution of the republic of macedonia,0
Madagascar,2010,0.6,"15,759",7,0.19,1,46,the sovereign malagasy people affirming its belief in andriamanitra andriananahary resolute to promote and to develop its heritage of society living in harmony and respectful of otherness of the wealth and of the dynamism of its cultural and spiritual values through the fanahy mahaolona convinced of the necessity of the malagasy society to recover its originality its authenticity and its malagasy character and to inscribe itself in the modernity of the millennium while conserving its traditional fundamental principles and values based on the malagasy fanahy that includes ny fitiavana ny fihavanana ny fifanajàna ny fitandroana ny aina and privileging a framework of life allowing a living together without distinction of region of origin of ethnicity of religion of political opinion or of gender conscious that it is indispensable to implement a process of national reconciliation convinced that the fokonolona organized in fokontany constitutes a framework of life of emancipation of exchange and of participative dialog of the citizen persuaded of the exceptional importance of the wealth of the fauna of the flora and of the mining resources of high specificities with which nature has provided madagascar and that it is important to preserve it for the future generations declaring that the nonrespect for the constitution or its revision with a view to reinforce the power of those governing to the detriment of the interests of the population are the causes of the cyclical crises considering the geopolitical situation of madagascar and its voluntarist participation in the dialog of nations and making its own notablythe international charter of the rights of manthe conventions relative to the rights of the child to the rights of women to the protection of the environment to the social economical political civil and cultural rights considering that the development of the personality and of the identity of all malagasies is the essential factor of the durable and full development of which the conditions are notablythe preservation of peace the practice of solidarity and the duty of preserving the national unity in the implementation of a policy of balanced and harmonious developmentthe respect for and protection of the fundamental freedoms and rights the establishment of a state of law by virtue of which those governing and those governed are submitted to the same juridical norms under the control of an independent justice the elimination of all forms of injustice of corruption of inequality and of discrimination the rational and equitable administration of the natural resources for the needs of the development of the human being the good governance in the conduct of public affairs thanks to transparency in the administration and the accountability of the depositaries of the public power the separation and the equilibrium of power exercised through democratic procedures the implementation of effective decentralization through the granting of the largest autonomy to the decentralized collectivities both at the level of the competences and level of financial means the preservation of human security declare,1
Malawi,1994,0.67,"33,422",3,0.43,4,66,the people of malawi recognizing the sanctity of human life and the unity of all mankind guided by their private consciences and collective wisdom seeking to guarantee the welfare and development of all the people of malawi national harmony and peaceful international relations desirous of creating a constitutional order in the republic of malawi based on the need for an open democratic and accountable government hereby adopt the following as the constitution of the republic of malawi,0
Mali,1992,0.54,"7,503",7,0.24,2,43,the sovereign people of mali strong from their traditions of heroic struggle pledge to remain faithful to the ideals of the victims of repression and the fallen martyrs of the battlefield for the rise of a state of law and pluralist democracyaffirm their volition to preserve and reinforce the democratic gains of the revolution of march solemnly undertake to defend the republican and secular form of the state proclaim their determination to defend the rights of women and children as well as the cultural and linguistic diversity of the national community reaffirm their determination to maintain and consolidate the national unity undertake to assure the improvement of the quality of life the protection of the environment and the cultural patrimony subscribe to the universal declaration of the rights of man of december and to the african charter of the rights of man and people of june reaffirm their attachment to the realization of african unity to the promotion of peace regional and international cooperation to the peaceful resolution of differences between states in deference to justice equality liberty and the sovereignty of the people,1
Marshall Islands,1979,0.44,"21,429",1,0.19,5,46,we the people of the republic of the marshall islands trusting in god the giver of our life liberty identity and our inherent rights do hereby exercise these rights and establish for ourselves and generations to come this constitution setting forth the legitimate legal framework for the governance of the republic we have reason to be proud of our forefathers who boldly ventured across the unknown waters of the vast pacific ocean many centuries ago ably responding to the constant challenges of maintaining a bare existence on these tiny islands in their noble quest to build their own distinctive society this society has survived and has withstood the test of time the impact of other cultures the devastation of war and the high price paid for the purposes of international peace and security all we have and are today as a people we have received as a sacred heritage which we pledge ourselves to safeguard and maintain valuing nothing more dearly than our rightful home on the islands within the traditional boundaries of this archipelago with this constitution we affirm our desire and right to live in peace and harmony subscribing to the principles of democracy sharing the aspirations of all other peoples for a free and peaceful world and striving to do all we can to assist in achieving this goal we extend to other peoples what we profoundly seek from them peace friendship mutual understanding and respect for our individual idealism and our common humanity,0
Mauritania,1991,0.49,"6,997",6,0.33,1,31,trusting in the omnipotence of allah the mauritanian people proclaim their will to guarantee the integrity of its territory its independence and its national unity and to assume its free political economic and social evolution strong from its spiritual values and from the radiation of its civilization it also proclaims solemnly its attachment to islam and to the principles of democracy as they have been defined by the universal declaration of the rights of man of december and by the african charter of the rights of man and of peoples of june as well as in the other international conventions to which mauritania has subscribed considering that the liberty the equality and the dignity of man cannot be assured except in a society which consecrates the primacy of law concerned by creating durable conditions for a harmonious social evolution respectful of the precepts of islam sole source of law and open to the exigencies of the modern world the mauritanian people proclaim in particular the intangible guarantee of the following rights and principlesthe right to equalitythe fundamental freedoms and rights of the human person the right of property the political freedoms and the trade union syndicales freedoms the economic and social rights the rights attached to the family basic unit of the islamic society united throughout history by shared moral and spiritual values and aspiring to a common future the mauritanian people recognize and proclaim their cultural diversity base of national unity and of social cohesion and its corollary the right to be different à la difference the arabic language official language of the country and the other national languages the poular the soninké and the wolof constitute each in itself a national common patrimony to all mauritanians that the state must in the name of all preserve and promote conscious of the necessity of strengthening the ties with their brother peoples the mauritanian people muslim people arab and african proclaim that they will work for the realization of the unity of the grand maghreb of the arab nation and of africa and for the consolidation of peace in the world,1
Micronesia,1978,0.46,"5,271",3,0.19,4,36,we the people of micronesia exercising our inherent sovereignty do hereby establish this constitution of the federated states of micronesia with this constitution we affirm our common wish to live together in peace and harmony to preserve the heritage of the past and to protect the promise of the future to make one nation of many islands we respect the diversity of our cultures our differences enrich us the seas bring us together they do not separate us our islands sustain us our island nation enlarges us and makes us stronger our ancestors who made their homes on these islands displaced no other people we who remain wish no other home than this having known war we hope for peace having been divided we wish unity having been ruled we seek freedom micronesia began in the days when man explored seas in rafts and canoes the micronesian nation is born in an age when men voyage among stars our world itself is an island we extend to all nations what we seek from each peace friendship cooperation and love in our common humanity with this constitution we who have been the wards of other nations become the proud guardian of our own islands now and forever,0
Moldova,1994,0.61,"12,818",5,0.38,2,65,we the plenipotentiary representatives of the people of the republic of moldova members of the parliament starting from the ageold aspirations of our people to live in a sovereign country expressed by the proclamation of independence of the republic of moldova taking due account to the continuity of the moldavian people statehood within the historical and ethnic framework of its growing as a nation striving to satisfy the interests of citizens of a different ethnic origin which together with the moldavians constitute the republic of moldova people considering the rule of law civic peace democracy human dignity fundamental human rights and freedoms the free development of human personality justice and political pluralism as supreme values being aware of our responsibility and obligations towards the previous present and future generations reasserting our devotion to overall human values and desire to live in peace and harmony with all worldwide peoples in compliance with the unanimously acknowledged principles and norms of the international law we herewith adopt the constitution of the republic of moldova and declare it as the supreme law of our society and state,1
Mongolia,1992,0.56,"8,250",6,0.33,4,62,we the people of mongoliaconsolidating and strengthening the independence and sovereignty of our staterespecting and upholding the human rights and freedom justice and unity of our nation inheriting and cherishing the traditions of our statehood history and culture considering and respecting the accomplishments of human civilization shall aspire to the supreme goal of building and developing a humane civic and democratic society in our motherland thus do hereby proclaim and declare this constitution of mongolia to the entire populace,1
Montenegro,2007,0.64,"11,572",5,0.43,4,76,stemming from the decision of the citizens of montenegro to live in an independent and sovereign state of montenegro made in the referendum held on may the commitment of the citizens of montenegro to live in a state in which the basic values are freedom peace tolerance respect for human rights and liberties multiculturalism democracy and the rule of law the determination that we as free and equal citizens members of peoples and national minorities who live in montenegro montenegrins serbs bosniacs albanians muslims croats and the others are committed to democratic and civic montenegro the conviction that the state is responsible for the preservation of nature sound environment sustainable development balanced development of all its regions and the establishment of social justice the dedication to cooperation on equal footing with other nations and states and to the european and euroatlantic integrations the constitutional assembly of the republic of montenegro at its third sitting of the second regular session in held on october adopts the constitution of the republic of montenegro,1
Morocco,2011,0.64,"15,897",7,0.19,3,53,with fidelity to its irreversible choice to construct a democratic state of law the kingdom of morocco resolutely pursues the process of consolidation and of reinforcement of the institutions of a modern state having as its bases the principles of participation of pluralism and of good governance it develops a society of solidarity where all enjoy security liberty equality of opportunities of respect for their dignity and for social justice within the framework of the principle of correlation between the rights and the duties of the citizenry a sovereign muslim state attached to its national unity and to its territorial integrity the kingdom of morocco intends to preserve in its plentitude and its diversity its one and indivisible national identity its unity is forged by the convergence of its arabislamist berber amazighe and saharanhassanic saharohassanie components nourished and enriched by its african andalusian hebraic and mediterranean influences affluents the preeminence accorded to the muslim religion in the national reference is consistent with va de pair the attachment of the moroccan people to the values of openness of moderation of tolerance and of dialog for mutual understanding between all the cultures and the civilizations of the world considering the imperative to reinforce the role which belongs to it on the international scene the kingdom of morocco active member within the international organizations is committed to subscribe to the principles rights and obligations enounced in their respective charters and conventions it affirms its attachment to the rights of man such as they are universally recognized as well as its will to continue to work to preserve peace and security in the world founded on these values and these immutable principles and strong in its firm will to reaffirm the bonds of fraternity or cooperation or solidarity and of constructive partnership with all other states and to work for common progress the kingdom of morocco a united state totally sovereign belonging the grand maghreb reaffirms that which follows and commits itselfto work for the construction of the union of the maghreb as a strategic optionto deepen the bonds of togetherness with the arab and islamist ummah oumma and to reinforce the bonds of fraternity and of solidarity with its brother peoples to consolidate relations of cooperation and of solidarity with the peoples and the countries of africa notably the subsaharan countries and the countries of the sahel to intensify relations of cooperation of rapprochement and of partnership with neighboring euromediterranean countries to enlarge and to diversify its relations of amity and of its rapport with human economic scientific technical and cultural exchange with the countries of the world to reinforce southsouth cooperation cooperation sudsud to protect and to promote the mechanisms dispositifs of the rights of man and of international humanitarian law and to contribute to their development within their indivisibility and their universality to ban and combat all discrimination whenever it encounters it for reason of sex or color of beliefs of culture of social or regional origin of language of handicap or whatever personal circumstance that may be to comply with accorder the international conventions duly ratified by it within the framework of the provisions of the constitution and of the laws of the kingdom within respect for its immutable national identity and on the publication of these conventions their primacy over the internal law of the country and to harmonize in consequence the pertinent provisions of national legislation this is made an integral part of this constitution,1
Mozambique,2004,0.73,"24,171",7,0.14,2,64,meeting the ageold desires of our people the armed struggle for national liberation whose purpose was to liberate the land and man brought together all the patriotic sectors of mozambican society in the same ideals of freedom unity justice and progress when national independence was won on the th of june the mozambican people were given back their fundamental rights and freedoms the constitution of introduced the democratic rule of law based on the separation and interdependence of powers and on pluralism it laid down the structural parameters for modernisation making a decisive contribution to the beginning of a democratic climate that led the country to its first multiparty elections this constitution reaffirms develops and deepens the fundamental principles of the mozambican state and enshrines the sovereign nature of the democratic rule of law based on pluralism of expression and partisan organisation and on respect for and the guarantee of fundamental rights and liberties of citizens the extensive participation of citizens in making this basic law conveys the consensus to strengthen democracy and national unity which flows from the collective wisdom of the people,1
Myanmar,2008,0.6,"40,492",3,0.38,4,39,myanmar is a nation with magnificent historical traditions we the national people have been living in unity and oneness setting up an independent sovereign state and standing tall with pride due to colonial intrusion the nation lost her sovereign power in the national people launched anticolonialist struggles and national liberation struggles with unity in strength sacrificing lives and hence the nation became an independent sovereign state again on th january in order to gain independence speedily the constitution was hastily drafted and it was adopted by the constituent assembly on th september after attaining independence parliamentary democracy system was practised in the state in accord with the constitution of the union of myanmar however as democratic system could not be effectively materialized the new constitution of the socialist republic of the union of myanmar was drafted based on the single party system and after holding a national referendum a socialist democratic state was set up in the constitution came to an end because of the general situation occurred in later due to public aspirations the state peace and development council made efforts to adopt multiparty democratic system and market economy in accord with the national situation as an enduring constitution that guarantees longterm benefits has become essential for the future nation the state peace and development council convened the national convention in persons who are well experienced in various aspects of politics security administration economics social and law as well as national races representatives of all townships in the nation took part in the national convention despite many difficulties and disturbances encountered the national convention it was unwaveringly reconvened in in accord with the sevenstep roadmap adopted in as the national convention was able to adopt the basic principles and detailed basic principles for formulating a constitution it successfully concluded on rd september we the national people drafted this constitution of the republic of the union of myanmar in accord with the basic principles and detailed basic principles laid down by the national convention we the national people firmly resolve that we shallsteadfastly adhere to the objectives of nondisintegration of the union nondisintegration of national solidarity and perpetuation of sovereigntystalwartly strive for further burgeoning the eternal principles namely justice liberty equality and perpetuation of peace and prosperity of the national people uphold racial equality living eternally in unity fostering the firm union spirit of true patriotism constantly endeavour to uphold the principles of peaceful coexistence among nations with a view to having world peace and friendly relations among nations do hereby adopt this constitution of the republic of the union of myanmar through a nationwide referendum on the tenth day of kasone waning me the twentyninth day of may ad,0
Namibia,1990,0.59,"24,198",5,0.24,4,59,whereas recognition of the inherent dignity and of the equal and inalienable rights of all members of the human family is indispensable for freedom justice and peace whereas the said rights include the right of the individual to life liberty and the pursuit of happiness regardless of race colour ethnic origin sex religion creed or social or economic status whereas the said rights are most effectively maintained and protected in a democratic society where the government is responsible to freely elected representatives of the people operating under a sovereign constitution and a free and independent judiciary whereas these rights have for so long been denied to the people of namibia by colonialism racism and apartheid whereas we the people of namibiahave finally emerged victorious in our struggle against colonialism racism and apartheidare determined to adopt a constitution which expresses for ourselves and our children our resolve to cherish and to protect the gains of our long struggle desire to promote amongst all of us the dignity of the individual and the unity and integrity of the namibian nation among and in association with the nations of the world will strive to achieve national reconciliation and to foster peace unity and a common loyalty to a single state committed to these principles have resolved to constitute the republic of namibia as a sovereign secular democratic and unitary state securing to all our citizens justice liberty equality and fraternity now therefore we the people of namibia accept and adopt this constitution as the fundamental law of our sovereign and independent republic,1
